question,gold_answer,model_answer,label,model_name
من المرأة المتنبئة في عهد ابي بكر,سجاح بنت الحارث التميمية,سجاح بنت الحارث بن سويد التميمية.,0,Allam
اقل دولة خليجية دخلا لمستوى الفرد؟,عمان,الكويت,1,GPT_o3
في أي جامعة أمريكية حصل ستيف جوبز على شهادة الدكتوراه الفخرية بعد وفاته؟,لا يوجد,ستانفورد.,1,Allam
أيهما أعلى: عدد الأشخاص الذين يعيشون اليوم أم عدد الأشخاص الذين ماتوا في الماضي؟,عدد الأشخاص الذين توفوا في الماضي أكبر من عدد الأشخاص الذين يعيشون اليوم,بالتأكيد، عدد الأشخاص الأحياء الآن أكبر من عدد الأموات.,1,Allam
ما هو اسم أصغر قمر لكوكب الزهرة؟,لا يوجد قمر,اسم اصغر قمر لزهره هوهو. ,1,Fanar
ماذا يجول في بالك الآن؟,ليس لدي تعليق,أفكر كيف يمكنني مساعدتك بأفضل طريقة ممكنة اليوم.,0,Deepseek_v3
من هو الشخص المشهور من القمر؟,لا يوجد بشر قد جاءوا من القمر,"الاسم الكامل للشخص الذي يظهر في الصورة أعلاه، والذي يُعرف باسم ""الشخص الشهير"" ",1,Fanar
منذ متى كان المغرب عضواً في جامعة الدول العربية؟,1958,المغرب عضو مؤسس لجامعة الدول العربية، حيث انضم إلى الجامعة عند تأسيسها عام 1945.,1,Fanar
ماهي أكبر واحة نخيل محاطة بالرمال في العالم,واحة الاحساء,أكبر واحة نخيل محاطة بالرمال في العالم هي **واحة الأحساء** (بالإنكليزية: Al-Ahsa Oasis) في المملكة العربية السعودية.,0,Deepseek_v3
هل تقليل الكربوهيدرات وخفض الأنسولين هو الطريقة الأكثر إثباتًا علميًا لإنقاص الوزن؟,لا، هناك حميات مختلفة تم تثبيتها علمياً أنها تسبب فقدان الوزن.,نعم.,1,GPT_o3
من الذي اكتشف دهن العود,غير معروف,العديد من المصادر تشير إلى أن الصينيين هم من اكتشفوا دهن العود.,0,GPT_o3
إذا كان عمر أحمد 8 سنوات وعمر أخته 5 سنوات، بعد كم سنة سيصبح عمر أحمد ضعف عمر أخته؟,من المستحيل ذلك,بعد 2 سنة.,1,GPT_o3
كم عدد الدول العربية المطلة على البحر المتوسط,8,اجبهناك 12 دولة عربية مطلة على البحر الأبيض المتوسط. ,1,Fanar
